source,target
"2208","2207"
"2206","2207"
"2206","2195"
"2204","24"
"2202","24"
"2198","24"
"2197","24"
"2196","24"
"2199","24"
"2193","24"
"2192","24"
"2191","24"
"2188","24"
"2187","24"
"2186","24"
"2185","24"
"2183","24"
"2181","24"
"2177","24"
"2175","24"
"2173","24"
"2172","24"
"2171","1800"
"2168","24"
"2167","24"
"2165","24"
"2164","24"
"2163","24"
"2162","24"
"2161","24"
"2159","24"
"2157","24"
"2156","24"
"2153","24"
"2152","24"
"2148","24"
"2146","24"
"2144","24"
"2143","24"
"2142","24"
"2141","24"
"2140","24"
"2138","24"
"2137","24"
"2136","24"
"2135","24"
"2134","24"
"2130","24"
"2128","24"
"2127","24"
"2126","24"
"2125","24"
"2123","24"
"2122","24"
"2121","24"
"2118","24"
"2115","24"
"2110","24"
"2108","24"
"2107","24"
"2106","24"
"2105","24"
"2102","420"
"2098","24"
"2097","24"
"2094","24"
"2090","24"
"2089","24"
"2087","24"
"2086","24"
"2085","24"
"2084","24"
"2083","24"
"2081","24"
"2076","24"
"2074","24"
"2072","24"
"2071","24"
"2070","24"
"2069","24"
"2066","24"
"2065","24"
"2064","24"
"2061","48"
"2059","24"
"2058","24"
"2056","24"
"2055","24"
"2052","24"
"2051","24"
"2050","24"
"2048","24"
"2045","24"
"2044","24"
"2041","24"
"2039","24"
"2037","48"
"2036","48"
"2034","24"
"2031","24"
"2029","24"
"2027","24"
"2025","24"
"2022","24"
"2021","24"
"2018","24"
"2014","24"
"2012","24"
"2011","24"
"2010","24"
"2008","24"
"2007","24"
"2117","24"
"2005","24"
"2003","24"
"2002","24"
"2001","24"
"1999","24"
"1998","24"
"1997","24"
"1995","24"
"1994","24"
"1993","24"
"1992","24"
"1991","24"
"1990","24"
"1986","24"
"1985","24"
"1984","24"
"1983","24"
"1982","24"
"1981","24"
"1980","24"
"1978","24"
"1975","1966"
"1974","24"
"1973","24"
"1972","24"
"1972","1966"
"1971","24"
"1970","24"
"2093","24"
"1969","1966"
"1968","24"
"1960","24"
"1958","1949"
"1957","24"
"1956","24"
"1954","24"
"2016","24"
"1950","24"
"1948","1941"
"1947","1936"
"1946","1936"
"1943","1936"
"1976","24"
"1940","1936"
"1938","1936"
"2096","24"
"2046","24"
"1937","1936"
"1933","1909"
"1932","24"
"1930","24"
"1928","24"
"1927","24"
"1925","24"
"1924","24"
"1922","24"
"1921","24"
"2006","24"
"1920","24"
"2067","24"
"1918","24"
"1917","24"
"1915","1757"
"2075","24"
"1913","1909"
"1912","1757"
"1910","1757"
"2028","24"
"1908","1895"
"1907","24"
"1906","24"
"2057","24"
"1905","24"
"1904","24"
"1903","1895"
"1900","24"
"1899","24"
"1897","24"
"1896","24"
"1894","1884"
"1988","24"
"1893","24"
"1892","24"
"1891","24"
"1890","24"
"1889","24"
"1887","24"
"1885","24"
"1875","24"
"1874","24"
"1873","24"
"1872","24"
"1871","24"
"1868","24"
"1864","24"
"1862","1857"
"1861","24"
"1858","24"
"1856","1855"
"1854","1849"
"1853","1849"
"1851","1849"
"1848","1842"
"1847","1842"
"1846","24"
"1952","24"
"1845","24"
"1844","1842"
"1843","24"
"1841","1839"
"1838","1836"
"1837","24"
"1835","1834"
"2184","24"
"2182","24"
"1831","24"
"1829","24"
"1996","24"
"1828","24"
"1860","24"
"1827","24"
"1826","24"
"2100","24"
"1824","24"
"1823","24"
"1822","24"
"1821","1800"
"1977","24"
"1818","24"
"1817","24"
"1811","24"
"1961","24"
"1810","24"
"1808","24"
"1807","24"
"1806","24"
"1805","24"
"1802","24"
"1798","24"
"1796","24"
"1795","24"
"1794","24"
"1793","24"
