Frames,Invar,Pdr_solve,blockCube,ensureFrames,ensureFrames_Invar,generalize,pushClauses,pushClauses.Pdr_ManCheckCube,run,solverAddClause,Frames_q,Invar_q,Pdr_solve_q,blockCube_q,ensureFrames_q,ensureFrames_Invar_q,generalize_q,pushClauses_q,pushClauses.Pdr_ManCheckCube_q,run_q,solverAddClause_q,Frames_r,Invar_r,Pdr_solve_r,blockCube_r,ensureFrames_r,ensureFrames_Invar_r,generalize_r,pushClauses_r,pushClauses.Pdr_ManCheckCube_r,run_r,solverAddClause_r
6.0,12.0,0.17,0.15,0.01,nan,0.11,0.01,0.01,0.18,0.0,6.0,12.0,0.17,0.15,0.01,nan,0.1,0.01,0.01,0.18,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.9090909090909092,1.0,1.0,1.0,nan
39.0,1334.0,1196.83,1160.43,0.05,0.03,1034.61,36.37,35.93,1196.84,29.58,44.0,555.0,218.84,203.93,0.05,0.03,177.44,14.88,14.67,218.86,2.87,1.1282051282051282,0.4160419790104948,0.1828496946099279,0.17573658040553933,1.0,1.0,0.17150423831202097,0.4091284025295574,0.4082939048149179,0.1828648775107784,0.09702501690331305
7.0,11.0,0.1,0.08,0.01,nan,0.06,0.01,0.01,0.12,0.0,7.0,11.0,0.1,0.08,0.01,nan,0.06,0.01,0.01,0.12,0.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
4.0,nan,0.04,0.02,0.01,nan,0.01,0.01,0.01,0.06,0.0,4.0,nan,0.04,0.01,0.01,nan,0.01,0.01,0.01,0.05,0.0,1.0,nan,1.0,0.5,1.0,nan,1.0,1.0,1.0,0.8333333333333334,nan
45.0,30.0,1755.14,1732.72,0.02,0.0,1462.07,22.39,22.1,1755.15,6.86,48.0,1120.0,1750.28,1725.77,0.02,0.0,1455.89,24.49,23.89,1750.29,24.67,1.0666666666666667,37.333333333333336,0.9972309901204461,0.9959889653261923,1.0,nan,0.9957731161982669,1.0937918713711476,1.080995475113122,0.9972310058969318,3.5962099125364433
25.0,32.0,1755.5,1754.9,0.01,0.0,1480.54,0.58,0.57,1755.51,2.31,27.0,30.0,1749.71,1748.89,0.01,0.0,1495.03,0.8,0.78,1749.72,2.64,1.08,0.9375,0.996701794360581,0.9965753034360932,1.0,nan,1.009786969619193,1.3793103448275863,1.3684210526315792,0.9967018131483159,1.1428571428571428
4.0,nan,0.04,0.02,0.01,nan,0.02,0.01,0.01,0.06,0.0,4.0,nan,0.05,0.02,0.02,nan,0.02,0.01,0.01,0.07,0.0,1.0,nan,1.25,1.0,2.0,nan,1.0,1.0,1.0,1.1666666666666667,nan
12.0,nan,6.83,6.76,0.01,nan,5.99,0.03,0.03,6.85,0.01,12.0,nan,6.86,6.79,0.01,nan,6.01,0.03,0.03,6.87,0.01,1.0,nan,1.0043923865300146,1.0044378698224852,1.0,nan,1.003338898163606,1.0,1.0,1.0029197080291972,1.0
4.0,nan,0.06,0.02,0.02,nan,0.02,0.01,0.01,0.07,0.0,4.0,nan,0.05,0.02,0.02,nan,0.02,0.01,0.01,0.07,0.0,1.0,nan,0.8333333333333334,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
14.0,25.0,6.41,5.62,0.01,0.0,4.88,0.78,0.76,6.42,0.02,13.0,52.0,7.68,6.97,0.01,0.0,6.08,0.71,0.69,7.7,0.03,0.9285714285714286,2.08,1.1981279251170045,1.2402135231316724,1.0,nan,1.2459016393442623,0.9102564102564101,0.9078947368421052,1.1993769470404985,1.5
6.0,nan,0.06,0.05,0.01,nan,0.05,0.0,0.0,0.08,0.0,6.0,nan,0.06,0.05,0.01,nan,0.04,0.0,0.0,0.07,0.0,1.0,nan,1.0,1.0,1.0,nan,0.7999999999999999,nan,nan,0.8750000000000001,nan
4.0,nan,0.05,0.02,0.02,nan,0.01,0.01,0.01,0.07,0.0,4.0,nan,0.05,0.02,0.02,nan,0.02,0.01,0.01,0.07,0.0,1.0,nan,1.0,1.0,1.0,nan,2.0,1.0,1.0,1.0,nan
22.0,290.0,41.71,39.16,0.01,0.0,33.65,2.55,2.45,41.72,0.31,23.0,771.0,232.47,210.5,0.01,0.01,186.67,21.97,20.81,232.49,1.69,1.0454545454545454,2.6586206896551725,5.573483577079837,5.37538304392237,1.0,nan,5.54739970282318,8.615686274509804,8.493877551020407,5.572627037392138,5.451612903225806
7.0,12.0,0.16,0.14,0.01,nan,0.11,0.01,0.0,0.17,0.0,7.0,12.0,0.17,0.15,0.01,nan,0.11,0.01,0.01,0.19,0.0,1.0,1.0,1.0625,1.0714285714285714,1.0,nan,1.0,1.0,nan,1.1176470588235294,nan
11.0,2.0,1768.23,1768.18,0.01,nan,1642.56,0.04,0.04,1768.25,0.82,11.0,2.0,1767.23,1767.18,0.01,nan,1641.71,0.04,0.04,1767.25,0.82,1.0,1.0,0.9994344627112989,0.9994344467192254,1.0,nan,0.999482515098383,1.0,1.0,0.999434469107875,1.0
12.0,4.0,0.86,0.79,0.0,0.0,0.66,0.06,0.06,0.87,0.0,12.0,4.0,0.85,0.79,0.0,0.0,0.65,0.05,0.05,0.86,0.0,1.0,1.0,0.9883720930232558,1.0,nan,nan,0.9848484848484849,0.8333333333333334,0.8333333333333334,0.9885057471264368,nan
17.0,108.0,14.51,13.62,0.01,0.0,12.09,0.88,0.86,14.52,0.05,15.0,35.0,20.59,19.51,0.01,0.0,17.28,1.08,1.06,20.6,0.06,0.8823529411764706,0.32407407407407407,1.4190213645761545,1.432452276064611,1.0,nan,1.4292803970223327,1.2272727272727273,1.232558139534884,1.4187327823691462,1.2
7.0,nan,0.1,0.08,0.01,nan,0.07,0.01,0.01,0.11,0.0,7.0,nan,0.1,0.08,0.01,nan,0.07,0.01,0.01,0.11,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
10.0,nan,1791.7,1788.98,0.03,nan,1746.69,2.56,2.55,1791.73,0.6,10.0,nan,1791.93,1789.22,0.03,nan,1748.23,2.55,2.55,1791.96,0.58,1.0,nan,1.0001283697047496,1.0001341546579616,1.0,nan,1.0008816676113106,0.9960937499999999,1.0,1.0001283675553794,0.9666666666666667
7.0,nan,0.1,0.08,0.01,nan,0.06,0.01,0.01,0.12,0.0,7.0,nan,0.1,0.08,0.01,nan,0.06,0.01,0.01,0.11,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9166666666666667,nan
4.0,nan,0.02,0.01,0.01,nan,0.0,0.0,0.0,0.03,0.0,4.0,nan,0.02,0.01,0.0,nan,0.01,0.0,0.0,0.03,0.0,1.0,nan,1.0,1.0,0.0,nan,nan,nan,nan,1.0,nan
6.0,6.0,0.04,0.03,0.0,nan,0.02,0.0,0.0,0.05,0.0,6.0,6.0,0.05,0.04,0.01,nan,0.03,0.01,0.0,0.07,0.0,1.0,1.0,1.25,1.3333333333333335,nan,nan,1.5,nan,nan,1.4000000000000001,nan
19.0,40.0,1752.23,1730.31,0.01,0.0,1488.93,21.91,20.33,1752.25,2.33,19.0,38.0,1749.5,1699.49,0.01,0.0,1474.34,50.0,46.63,1749.5,2.59,1.0,0.95,0.9984419853558038,0.9821881628147557,1.0,nan,0.9902010168375946,2.2820629849383844,2.2936546974913923,0.9984305892424026,1.1115879828326178
8.0,nan,0.14,0.12,0.01,nan,0.1,0.01,0.01,0.16,0.0,8.0,nan,0.12,0.11,0.01,nan,0.09,0.0,0.0,0.13,0.0,1.0,nan,0.857142857142857,0.9166666666666667,1.0,nan,0.8999999999999999,0.0,0.0,0.8125,nan
7.0,nan,0.1,0.08,0.01,nan,0.07,0.01,0.01,0.11,0.0,7.0,nan,0.1,0.08,0.01,nan,0.07,0.01,0.01,0.11,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
4.0,nan,0.04,0.01,0.02,nan,0.01,0.01,0.01,0.06,0.0,4.0,nan,0.04,0.01,0.02,nan,0.01,0.01,0.01,0.06,0.0,1.0,nan,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,nan
8.0,nan,0.13,0.11,0.01,nan,0.09,0.01,0.01,0.15,0.0,8.0,nan,0.07,0.06,0.01,nan,0.05,0.01,0.01,0.09,0.0,1.0,nan,0.5384615384615385,0.5454545454545454,1.0,nan,0.5555555555555556,1.0,1.0,0.6,nan
10.0,nan,295.3,291.51,0.02,nan,284.38,3.72,3.7,295.32,0.15,10.0,nan,296.09,292.3,0.02,nan,284.69,3.73,3.71,296.11,0.15,1.0,nan,1.0026752455130374,1.0027100271002711,1.0,nan,1.0010900907236795,1.0026881720430108,1.0027027027027027,1.0026750643369904,1.0
16.0,nan,1757.54,1695.89,0.01,nan,1533.89,61.64,53.7,1757.57,0.88,16.0,nan,1763.69,1702.06,0.02,nan,1537.34,61.62,53.75,1763.71,0.89,1.0,nan,1.0034992091218409,1.0036382076667707,2.0,nan,1.0022491834486174,0.999675535366645,1.0009310986964617,1.0034934597199543,1.0113636363636365
10.0,1.0,1770.67,1764.61,0.01,nan,1656.57,6.05,5.8,1770.69,1.16,10.0,1.0,1770.73,1764.66,0.01,nan,1664.18,6.05,5.8,1770.74,1.1,1.0,1.0,1.0000338854783781,1.0000283348728616,1.0,nan,1.004593829418618,1.0,1.0,1.0000282375797005,0.9482758620689656
